pop.,store,season,GRP,weighted,delivery,daily,cost,Active
165183,0,1.01,299.9,30,30,0.9677419355,150,55
348716,0,1.01,311.5,97,98,3.1290322581,140,46
520662,0,1.01,283.6,60,61,1.935483871,140,52
612091,0,1.01,187.6,54,55,1.7419354839,150,55
210055,0,1.01,187.6,17,17,0.5483870968,150,55
75419,0,1.01,246.4,8,8,0.2580645161,190,55
214397,0,1.01,290.4,23,23,0.7419354839,190,55
246348,0,1.01,375.5,9,9,0.2903225806,190,55
415640,0,1.01,196.3,57,58,1.8387096774,250,52
592069,0,1.01,332.4,63,64,2.0322580645,190,55
311635,0,1.01,180,2,2,0.064516129,150,52
348256,0,1.01,232.6,44,44,1.4193548387,130,52
1021244,0,1.01,279,74,75,2.3870967742,140,52
170621,0,1.01,235.7,3,3,0.0967741935,140,52
314436,0,1.01,279,13,13,0.4193548387,140,52
301642,0,1.01,325.8,50,50,1.6129032258,130,46
80013,0,1.01,403.4,6,6,0.1935483871,140,46
56928,0,1.01,184,9,9,0.2903225806,150,55
70133,0,1.01,376.7,1,1,0.0322580645,130,52
409277,0,1.01,145.2,57,58,1.8387096774,250,52
628116,0,1.01,291.3,80,81,2.5806451613,140,51
248688,0,1.01,209.5,18,18,0.5806451613,140,51
587225,0,1.01,375.5,88,89,2.8387096774,190,55
431491,0,1.01,317,25,25,0.8064516129,140,46
325185,0,1.01,322.5,71,72,2.2903225806,250,52
532884,0,1.01,273.8,83,84,2.6774193548,150,55
473668,0,1.01,191.4,20,20,0.6451612903,140,52
80584,0,1.01,376.7,7,7,0.2258064516,130,52
263906,0,1.01,410.2,30,30,0.9677419355,350,55
268617,0,1.01,223.2,35,35,1.1290322581,130,52
973891,0,1.01,498.4,75,76,2.4193548387,150,55
333640,0,1.01,193.4,38,38,1.2258064516,150,50
414595,0,1.01,266,44,44,1.4193548387,150,52
109906,0,1.01,149.3,7,7,0.2258064516,150,55
508124,0,1.01,341.5,60,61,1.935483871,130,52
408401,0,1.01,284.2,22,22,0.7096774194,150,50
577990,0,1.01,180.8,25,25,0.8064516129,150,52
307664,0,1.01,416.7,200,202,6.4516129032,140,46
513242,0,1.01,434.5,26,26,0.8387096774,140,51
240095,0,1.01,137.4,15,15,0.4838709677,150,52
159695,0,1.01,332.4,13,13,0.4193548387,190,55
61746,0,1.01,690.6,10,10,0.3225806452,380,55
251860,0,1.01,1761.2,29,29,0.935483871,150,50
361883,0,1.01,384.2,14,14,0.4516129032,150,50
547885,0,1.01,273.8,52,53,1.6774193548,150,55
241788,0,1.01,330.1,26,26,0.8387096774,250,52
104144,0,1.01,2985.3,27,27,0.8709677419,150,50
110572,0,1.01,2985.3,11,11,0.3548387097,150,50
317854,0,1.01,234.2,32,32,1.0322580645,130,52
546987,0,1.01,364.8,37,37,1.1935483871,250,51
239752,0,1.01,364.8,8,8,0.2580645161,140,51
517137,0,1.01,219.2,68,69,2.1935483871,140,51
991530,0,1.01,367.1,105,106,3.3870967742,250,51
263540,0,1.01,293.1,83,84,2.6774193548,140,46
179526,0,1.01,456.5,56,57,1.8064516129,380,55
203281,0,1.01,185.5,46,46,1.4838709677,250,46
142397,0,1.01,193.5,33,33,1.064516129,140,52
147008,0,1.01,187.6,6,6,0.1935483871,150,55
200771,0,1.01,305.2,2,2,0.064516129,130,52
525062,0,1.01,261.2,67,68,2.1612903226,130,52
297425,0,1.01,210.9,38,38,1.2258064516,140,52
837831,0,1.01,225.4,74,75,2.3870967742,140,51
342451,0,1.01,,65,,2.0967741935,140,52
192265,0,1.01,311.5,58,59,1.8709677419,140,46
108466,0,1.01,399.2,5,5,0.1612903226,150,55
126496,0,1.01,376.7,12,12,0.3870967742,130,52
343644,0,1.01,,102,,3.2903225806,140,52
343285,0,1.01,330.1,56,57,1.8064516129,140,52
398266,0,1.01,193.5,50,50,1.6129032258,140,52
221163,0,1.01,400.6,11,11,0.3548387097,130,52
273432,0,1.01,306.8,14,14,0.4516129032,140,55
306703,0,1.01,1761.2,45,45,1.4516129032,150,50
235006,0,1.01,553.8,47,47,1.5161290323,140,46
280457,0,1.01,258.8,38,38,1.2258064516,130,52
403726,0,1.01,232.8,80,81,2.5806451613,130,52
719514,0,1.01,358.6,43,43,1.3870967742,250,51
522940,0,1.01,399.2,98,99,3.1612903226,350,55
581758,0,1.01,522,86,87,2.7741935484,350,50
404357,0,1.01,189.3,14,14,0.4516129032,150,55
157946,0,1.01,332.4,24,24,0.7741935484,190,55
99642,0,1.01,553.8,27,27,0.8709677419,140,46
577668,0,1.01,410.2,90,91,2.9032258065,350,55
79410,0,1.01,1761.2,32,32,1.0322580645,150,50
453645,0,1.01,189.7,40,40,1.2903225806,250,51
1130273,0,1.01,284.2,134,135,4.3225806452,250,50
312311,0,1.01,325.8,26,26,0.8387096774,130,46
323964,0,1.01,209,55,56,1.7741935484,190,55
240152,0,1.01,235.7,7,7,0.2258064516,140,52
103728,0,1.01,163.7,5,5,0.1612903226,140,52
181727,0,1.01,1620.3,54,55,1.7419354839,380,55
269486,0,1.01,690.6,49,49,1.5806451613,380,55
165183,0,1.05,299.9,35,37,1.1666666667,150,55
348716,0,1.05,311.5,118,124,3.9333333333,140,46
520662,0,1.05,283.6,66,69,2.2,140,52
612091,0,1.05,187.6,69,72,2.3,150,55
210055,0,1.05,187.6,22,23,0.7333333333,150,55
75419,0,1.05,246.4,13,14,0.4333333333,190,55
214397,0,1.05,290.4,31,33,1.0333333333,190,55
246348,0,1.05,375.5,10,11,0.3333333333,190,55
415640,0,1.05,196.3,72,76,2.4,250,52
592069,0,1.05,332.4,68,71,2.2666666667,190,55
311635,0,1.05,180,12,13,0.4,150,52
348256,0,1.05,232.6,56,59,1.8666666667,130,52
1021244,0,1.05,279,84,88,2.8,140,52
170621,0,1.05,235.7,6,6,0.2,140,52
314436,0,1.05,279,18,19,0.6,140,52
301642,0,1.05,325.8,63,66,2.1,130,46
80013,0,1.05,403.4,6,6,0.2,140,46
56928,0,1.05,184,15,16,0.5,150,55
70133,0,1.05,376.7,1,1,0.0333333333,130,52
409277,0,1.05,145.2,60,63,2,250,52
628116,0,1.05,291.3,78,82,2.6,140,51
248688,0,1.05,209.5,19,20,0.6333333333,140,51
587225,0,1.05,375.5,90,94,3,190,55
431491,0,1.05,317,32,34,1.0666666667,140,46
325185,0,1.05,322.5,93,98,3.1,250,52
532884,0,1.05,273.8,107,112,3.5666666667,150,55
473668,0,1.05,191.4,23,24,0.7666666667,140,52
80584,0,1.05,376.7,6,6,0.2,130,52
263906,0,1.05,410.2,33,35,1.1,350,55
268617,0,1.05,223.2,49,51,1.6333333333,130,52
973891,0,1.05,498.4,85,89,2.8333333333,150,55
333640,0,1.05,193.4,38,40,1.2666666667,150,50
414595,0,1.05,266,66,69,2.2,150,52
109906,0,1.05,149.3,5,5,0.1666666667,150,55
508124,0,1.05,341.5,73,77,2.4333333333,130,52
408401,0,1.05,284.2,23,24,0.7666666667,150,50
577990,0,1.05,180.8,27,28,0.9,150,52
307664,0,1.05,416.7,229,240,7.6333333333,140,46
513242,0,1.05,434.5,29,30,0.9666666667,140,51
240095,0,1.05,137.4,17,18,0.5666666667,150,52
159695,0,1.05,332.4,12,13,0.4,190,55
61746,0,1.05,690.6,12,13,0.4,380,55
251860,0,1.05,1761.2,30,31,1,150,50
361883,0,1.05,384.2,21,22,0.7,150,50
547885,0,1.05,273.8,63,66,2.1,150,55
241788,0,1.05,330.1,30,32,1,250,52
104144,0,1.05,2985.3,33,35,1.1,150,50
99762,0,1.05,,2,,0.0666666667,230,50
110572,0,1.05,2985.3,21,22,0.7,150,50
317854,0,1.05,234.2,41,43,1.3666666667,130,52
546987,0,1.05,364.8,60,63,2,250,51
239752,0,1.05,364.8,13,14,0.4333333333,140,51
517137,0,1.05,219.2,86,90,2.8666666667,140,51
991530,0,1.05,367.1,123,129,4.1,250,51
263540,0,1.05,293.1,94,99,3.1333333333,140,46
179526,0,1.05,456.5,84,88,2.8,380,55
203281,0,1.05,185.5,65,68,2.1666666667,250,46
142397,0,1.05,193.5,43,45,1.4333333333,140,52
147008,0,1.05,187.6,11,12,0.3666666667,150,55
200771,0,1.05,305.2,3,3,0.1,130,52
525062,0,1.05,261.2,87,91,2.9,130,52
297425,0,1.05,210.9,39,41,1.3,140,52
837831,0,1.05,225.4,106,111,3.5333333333,140,51
342451,0,1.05,,130,,4.3333333333,140,52
192265,0,1.05,311.5,66,69,2.2,140,46
108466,0,1.05,399.2,2,2,0.0666666667,150,55
126496,0,1.05,376.7,19,20,0.6333333333,130,52
343644,0,1.05,,160,,5.3333333333,140,52
343285,0,1.05,330.1,50,53,1.6666666667,140,52
398266,0,1.05,193.5,61,64,2.0333333333,140,52
221163,0,1.05,400.6,14,15,0.4666666667,130,52
273432,0,1.05,306.8,14,15,0.4666666667,140,55
306703,0,1.05,1761.2,55,58,1.8333333333,150,50
235006,0,1.05,553.8,43,45,1.4333333333,140,46
280457,0,1.05,258.8,57,60,1.9,130,52
403726,0,1.05,232.8,85,89,2.8333333333,130,52
719514,0,1.05,358.6,42,44,1.4,250,51
522940,0,1.05,399.2,105,110,3.5,350,55
581758,0,1.05,522,121,127,4.0333333333,350,50
404357,0,1.05,189.3,26,27,0.8666666667,150,55
157946,0,1.05,332.4,16,17,0.5333333333,190,55
99642,0,1.05,553.8,33,35,1.1,140,46
577668,0,1.05,410.2,124,130,4.1333333333,350,55
79410,0,1.05,1761.2,50,52,1.6666666667,150,50
453645,0,1.05,189.7,30,32,1,250,51
1130273,0,1.05,284.2,117,123,3.9,250,50
312311,0,1.05,325.8,38,40,1.2666666667,130,46
323964,0,1.05,209,54,57,1.8,190,55
240152,0,1.05,235.7,6,6,0.2,140,52
103728,0,1.05,163.7,4,4,0.1333333333,140,52
181727,0,1.05,1620.3,63,66,2.1,380,55
269486,0,1.05,690.6,55,58,1.8333333333,380,55
165183,0,1.27,299.9,35,44,1.1290322581,150,55
348716,0,1.27,311.5,145,184,4.6774193548,140,46
520662,0,1.27,283.6,82,104,2.6451612903,140,52
612091,0,1.27,187.6,62,79,2,150,55
210055,0,1.27,187.6,24,30,0.7741935484,150,55
75419,0,1.27,246.4,13,17,0.4193548387,190,55
214397,0,1.27,290.4,41,52,1.3225806452,190,55
246348,0,1.27,375.5,12,15,0.3870967742,190,55
415640,0,1.27,196.3,108,137,3.4838709677,250,52
592069,0,1.27,332.4,76,96,2.4516129032,190,55
311635,0,1.27,180,25,32,0.8064516129,150,52
348256,0,1.27,232.6,67,85,2.1612903226,130,52
1021244,0,1.27,279,98,125,3.1612903226,140,52
170621,0,1.27,235.7,9,11,0.2903225806,140,52
314436,0,1.27,279,24,31,0.7741935484,140,52
301642,0,1.27,325.8,93,118,3,130,46
80013,0,1.27,403.4,16,20,0.5161290323,140,46
56928,0,1.27,184,14,18,0.4516129032,150,55
70133,0,1.27,376.7,4,5,0.1290322581,130,52
409277,0,1.27,145.2,72,92,2.3225806452,250,52
628116,0,1.27,291.3,98,124,3.1612903226,140,51
248688,0,1.27,209.5,22,28,0.7096774194,140,51
587225,0,1.27,375.5,112,142,3.6129032258,190,55
431491,0,1.27,317,14,18,0.4516129032,140,46
325185,0,1.27,322.5,135,172,4.3548387097,250,52
532884,0,1.27,273.8,140,178,4.5161290323,150,55
473668,0,1.27,191.4,21,27,0.6774193548,140,52
80584,0,1.27,376.7,11,14,0.3548387097,130,52
263906,0,1.27,410.2,39,49,1.2580645161,350,55
268617,0,1.27,223.2,58,74,1.8709677419,130,52
973891,0,1.27,498.4,106,134,3.4193548387,150,55
333640,0,1.27,193.4,48,61,1.5483870968,150,50
414595,0,1.27,266,78,99,2.5161290323,150,52
109906,0,1.27,149.3,12,15,0.3870967742,150,55
508124,0,1.27,341.5,94,120,3.0322580645,130,52
408401,0,1.27,284.2,46,59,1.4838709677,150,50
577990,0,1.27,180.8,35,44,1.1290322581,150,52
307664,0,1.27,416.7,275,349,8.8709677419,140,46
513242,0,1.27,434.5,24,31,0.7741935484,140,51
240095,0,1.27,137.4,22,28,0.7096774194,150,52
159695,0,1.27,332.4,14,18,0.4516129032,190,55
61746,0,1.27,690.6,21,27,0.6774193548,380,55
251860,0,1.27,1761.2,47,60,1.5161290323,150,50
361883,0,1.27,384.2,20,26,0.6451612903,150,50
547885,0,1.27,273.8,72,91,2.3225806452,150,55
241788,0,1.27,330.1,37,47,1.1935483871,250,52
104144,0,1.27,2985.3,24,31,0.7741935484,150,50
99762,0,1.27,,4,,0.1290322581,230,50
175301,0,1.27,,4,,0.1290322581,330,55
110572,0,1.27,2985.3,22,28,0.7096774194,150,50
317854,0,1.27,234.2,36,46,1.1612903226,130,52
546987,0,1.27,364.8,72,92,2.3225806452,250,51
239752,0,1.27,364.8,22,28,0.7096774194,140,51
517137,0,1.27,219.2,86,109,2.7741935484,140,51
991530,0,1.27,367.1,161,205,5.1935483871,250,51
263540,0,1.27,293.1,163,207,5.2580645161,140,46
179526,0,1.27,456.5,65,83,2.0967741935,380,55
203281,0,1.27,185.5,102,130,3.2903225806,250,46
142397,0,1.27,193.5,42,53,1.3548387097,140,52
147008,0,1.27,187.6,11,14,0.3548387097,150,55
200771,0,1.27,305.2,12,15,0.3870967742,130,52
525062,0,1.27,261.2,117,149,3.7741935484,130,52
297425,0,1.27,210.9,46,58,1.4838709677,140,52
837831,0,1.27,225.4,116,147,3.7419354839,140,51
342451,0,1.27,,188,,6.064516129,140,52
192265,0,1.27,311.5,92,117,2.9677419355,140,46
108466,0,1.27,399.2,15,19,0.4838709677,150,55
126496,0,1.27,376.7,19,24,0.6129032258,130,52
343644,0,1.27,,201,,6.4838709677,140,52
343285,0,1.27,330.1,54,68,1.7419354839,140,52
398266,0,1.27,193.5,84,107,2.7096774194,140,52
221163,0,1.27,400.6,17,22,0.5483870968,130,52
273432,0,1.27,306.8,24,31,0.7741935484,140,55
306703,0,1.27,1761.2,24,31,0.7741935484,150,50
235006,0,1.27,553.8,58,74,1.8709677419,140,46
280457,0,1.27,258.8,59,75,1.9032258065,130,52
403726,0,1.27,232.8,118,150,3.8064516129,130,52
719514,0,1.27,358.6,64,81,2.064516129,250,51
522940,0,1.27,399.2,113,144,3.6451612903,350,55
581758,0,1.27,522,96,122,3.0967741935,350,50
404357,0,1.27,189.3,32,41,1.0322580645,150,55
157946,0,1.27,332.4,21,27,0.6774193548,190,55
99642,0,1.27,553.8,57,72,1.8387096774,140,46
577668,0,1.27,410.2,160,203,5.1612903226,350,55
79410,0,1.27,1761.2,54,69,1.7419354839,150,50
453645,0,1.27,189.7,54,68,1.7419354839,250,51
1130273,0,1.27,284.2,169,215,5.4516129032,250,50
312311,0,1.27,325.8,43,54,1.3870967742,130,46
323964,0,1.27,209,20,26,0.6451612903,190,55
240152,0,1.27,235.7,9,11,0.2903225806,140,52
103728,0,1.27,163.7,11,14,0.3548387097,140,52
181727,0,1.27,1620.3,68,86,2.1935483871,380,55
269486,0,1.27,690.6,48,61,1.5483870968,380,55
165183,0,0.75,299.9,36,27,1.2413793103,150,55
348716,0,0.75,311.5,156,117,5.3793103448,140,46
520662,0,0.75,283.6,113,85,3.8965517241,140,52
612091,0,0.75,187.6,101,76,3.4827586207,150,55
210055,0,0.75,187.6,21,16,0.724137931,150,55
75419,0,0.75,246.4,15,11,0.5172413793,190,55
214397,0,0.75,290.4,56,42,1.9310344828,190,55
246348,0,0.75,375.5,28,21,0.9655172414,190,55
415640,0,0.75,196.3,108,81,3.724137931,250,52
592069,0,0.75,332.4,107,80,3.6896551724,190,55
311635,0,0.75,180,47,35,1.6206896552,150,52
348256,0,0.75,232.6,124,93,4.275862069,130,52
1021244,0,0.75,279,144,108,4.9655172414,140,52
170621,0,0.75,235.7,11,8,0.3793103448,140,52
314436,0,0.75,279,32,24,1.1034482759,140,52
301642,0,0.75,325.8,127,95,4.3793103448,130,46
80013,0,0.75,403.4,44,33,1.5172413793,140,46
56928,0,0.75,184,13,10,0.4482758621,150,55
70133,0,0.75,376.7,5,4,0.1724137931,130,52
409277,0,0.75,145.2,104,78,3.5862068966,250,52
628116,0,0.75,291.3,121,91,4.1724137931,140,51
248688,0,0.75,209.5,56,42,1.9310344828,140,51
587225,0,0.75,375.5,137,103,4.724137931,190,55
431491,0,0.75,317,56,42,1.9310344828,140,46
325185,0,0.75,322.5,177,133,6.1034482759,250,52
532884,0,0.75,273.8,124,93,4.275862069,150,55
473668,0,0.75,191.4,23,17,0.7931034483,140,52
80584,0,0.75,376.7,13,10,0.4482758621,130,52
263906,0,0.75,410.2,71,53,2.4482758621,350,55
268617,0,0.75,223.2,73,55,2.5172413793,130,52
973891,0,0.75,498.4,123,92,4.2413793103,150,55
333640,0,0.75,193.4,55,41,1.8965517241,150,50
414595,0,0.75,266,52,39,1.7931034483,150,52
109906,0,0.75,149.3,12,9,0.4137931034,150,55
508124,0,0.75,341.5,132,99,4.5517241379,130,52
408401,0,0.75,284.2,64,48,2.2068965517,150,50
577990,0,0.75,180.8,36,27,1.2413793103,150,52
307664,0,0.75,416.7,361,271,12.4482758621,140,46
513242,0,0.75,434.5,33,25,1.1379310345,140,51
240095,0,0.75,137.4,43,32,1.4827586207,150,52
159695,0,0.75,332.4,27,20,0.9310344828,190,55
61746,0,0.75,690.6,16,12,0.5517241379,380,55
251860,0,0.75,1761.2,88,66,3.0344827586,150,50
361883,0,0.75,384.2,39,29,1.3448275862,150,50
547885,0,0.75,273.8,83,62,2.8620689655,150,55
241788,0,0.75,330.1,48,36,1.6551724138,250,52
104144,0,0.75,2985.3,31,23,1.0689655172,150,50
99762,0,0.75,,6,,0.2068965517,230,50
110572,0,0.75,2985.3,36,27,1.2413793103,150,50
317854,0,0.75,234.2,47,35,1.6206896552,130,52
546987,0,0.75,364.8,84,63,2.8965517241,250,51
239752,0,0.75,364.8,16,12,0.5517241379,140,51
517137,0,0.75,219.2,99,74,3.4137931034,140,51
991530,0,0.75,367.1,200,150,6.8965517241,250,51
263540,0,0.75,293.1,181,136,6.2413793103,140,46
179526,0,0.75,456.5,93,70,3.2068965517,380,55
203281,0,0.75,185.5,105,79,3.6206896552,250,46
142397,0,0.75,193.5,55,41,1.8965517241,140,52
147008,0,0.75,187.6,19,14,0.6551724138,150,55
200771,0,0.75,305.2,12,9,0.4137931034,130,52
525062,0,0.75,261.2,145,109,5,130,52
297425,0,0.75,210.9,59,44,2.0344827586,140,52
837831,0,0.75,225.4,148,111,5.1034482759,140,51
342451,0,0.75,,111,,3.8275862069,140,52
192265,0,0.75,311.5,125,94,4.3103448276,140,46
108466,0,0.75,399.2,23,17,0.7931034483,150,55
126496,0,0.75,376.7,24,18,0.8275862069,130,52
343644,0,0.75,,144,,4.9655172414,140,52
343285,0,0.75,330.1,71,53,2.4482758621,140,52
398266,0,0.75,193.5,108,81,3.724137931,140,52
221163,0,0.75,400.6,25,19,0.8620689655,130,52
273432,0,0.75,306.8,15,11,0.5172413793,140,55
306703,0,0.75,1761.2,72,54,2.4827586207,150,50
235006,0,0.75,553.8,76,57,2.6206896552,140,46
280457,0,0.75,258.8,75,56,2.5862068966,130,52
403726,0,0.75,232.8,139,104,4.7931034483,130,52
719514,0,0.75,358.6,63,47,2.1724137931,250,51
522940,0,0.75,399.2,171,128,5.8965517241,350,55
581758,0,0.75,522,163,122,5.6206896552,350,50
404357,0,0.75,189.3,43,32,1.4827586207,150,55
157946,0,0.75,332.4,25,19,0.8620689655,190,55
99642,0,0.75,553.8,71,53,2.4482758621,140,46
577668,0,0.75,410.2,213,160,7.3448275862,350,55
79410,0,0.75,1761.2,64,48,2.2068965517,150,50
453645,0,0.75,189.7,68,51,2.3448275862,250,51
1130273,0,0.75,284.2,223,167,7.6896551724,250,50
312311,0,0.75,325.8,56,42,1.9310344828,130,46
323964,0,0.75,209,44,33,1.5172413793,190,55
240152,0,0.75,235.7,7,5,0.2413793103,140,52
103728,0,0.75,163.7,13,10,0.4482758621,140,52
181727,0,0.75,1620.3,113,85,3.8965517241,380,55
269486,0,0.75,690.6,104,78,3.5862068966,380,55
165183,0,0.75,299.9,28,21,0.9655172414,150,55
348716,0,0.75,311.5,111,83,3.8275862069,140,46
520662,0,0.75,283.6,75,56,2.5862068966,140,52
612091,0,0.75,187.6,69,52,2.3793103448,150,55
210055,0,0.75,187.6,16,12,0.5517241379,150,55
75419,0,0.75,246.4,20,15,0.6896551724,190,55
214397,0,0.75,290.4,29,22,1,190,55
246348,0,0.75,375.5,13,10,0.4482758621,190,55
415640,0,0.75,196.3,67,50,2.3103448276,250,52
592069,0,0.75,332.4,76,57,2.6206896552,190,55
311635,0,0.75,180,21,16,0.724137931,150,52
348256,0,0.75,232.6,89,67,3.0689655172,130,52
1021244,0,0.75,279,96,72,3.3103448276,140,52
170621,0,0.75,235.7,7,5,0.2413793103,140,52
314436,0,0.75,279,21,16,0.724137931,140,52
301642,0,0.75,325.8,80,60,2.7586206897,130,46
80013,0,0.75,403.4,21,16,0.724137931,140,46
56928,0,0.75,184,4,3,0.1379310345,150,55
70133,0,0.75,376.7,5,4,0.1724137931,130,52
409277,0,0.75,145.2,56,42,1.9310344828,250,52
628116,0,0.75,291.3,72,54,2.4827586207,140,51
248688,0,0.75,209.5,23,17,0.7931034483,140,51
587225,0,0.75,375.5,92,69,3.1724137931,190,55
431491,0,0.75,317,36,27,1.2413793103,140,46
325185,0,0.75,322.5,103,77,3.5517241379,250,52
532884,0,0.75,273.8,75,56,2.5862068966,150,55
473668,0,0.75,191.4,29,22,1,140,52
80584,0,0.75,376.7,7,5,0.2413793103,130,52
263906,0,0.75,410.2,45,34,1.5517241379,350,55
268617,0,0.75,223.2,43,32,1.4827586207,130,52
973891,0,0.75,498.4,87,65,3,150,55
333640,0,0.75,193.4,29,22,1,150,50
109906,0,0.75,149.3,7,5,0.2413793103,150,52
508124,0,0.75,341.5,81,61,2.7931034483,150,55
408401,0,0.75,284.2,39,29,1.3448275862,130,52
577990,0,0.75,180.8,25,19,0.8620689655,150,50
307664,0,0.75,416.7,256,192,8.8275862069,150,52
513242,0,0.75,434.5,21,16,0.724137931,140,46
240095,0,0.75,137.4,29,22,1,140,51
159695,0,0.75,332.4,9,7,0.3103448276,150,52
61746,0,0.75,690.6,12,9,0.4137931034,190,55
251860,0,0.75,1761.2,51,38,1.7586206897,380,55
361883,0,0.75,384.2,23,17,0.7931034483,130,51
547885,0,0.75,273.8,47,35,1.6206896552,150,50
241788,0,0.75,330.1,31,23,1.0689655172,150,55
104144,0,0.75,2985.3,29,22,1,250,52
99762,0,0.75,,3,,0.1034482759,150,50
110572,0,0.75,2985.3,16,12,0.5517241379,150,50
317854,0,0.75,234.2,25,19,0.8620689655,130,52
546987,0,0.75,364.8,41,31,1.4137931034,250,51
239752,0,0.75,364.8,19,14,0.6551724138,140,51
517137,0,0.75,219.2,51,38,1.7586206897,140,51
991530,0,0.75,367.1,108,81,3.724137931,250,51
263540,0,0.75,293.1,101,76,3.4827586207,140,46
179526,0,0.75,456.5,65,49,2.2413793103,380,55
203281,0,0.75,185.5,49,37,1.6896551724,250,46
142397,0,0.75,193.5,23,17,0.7931034483,140,52
147008,0,0.75,187.6,3,2,0.1034482759,150,55
200771,0,0.75,305.2,4,3,0.1379310345,130,52
525062,0,0.75,261.2,57,43,1.9655172414,130,52
297425,0,0.75,210.9,41,31,1.4137931034,140,52
837831,0,0.75,225.4,96,72,3.3103448276,140,51
342451,0,0.75,,59,,2.0344827586,140,52
192265,0,0.75,311.5,72,54,2.4827586207,140,46
108466,0,0.75,399.2,16,12,0.5517241379,150,55
126496,0,0.75,376.7,17,13,0.5862068966,130,52
343644,0,0.75,,87,,3,140,52
343285,0,0.75,330.1,63,47,2.1724137931,140,52
398266,0,0.75,193.5,56,42,1.9310344828,140,52
221163,0,0.75,400.6,12,9,0.4137931034,130,52
273432,0,0.75,306.8,20,15,0.6896551724,140,55
306703,0,0.75,1761.2,57,43,1.9655172414,150,50
235006,0,0.75,553.8,49,37,1.6896551724,140,46
280457,0,0.75,258.8,41,31,1.4137931034,130,52
403726,0,0.75,232.8,111,83,3.8275862069,130,52
719514,0,0.75,358.6,73,55,2.5172413793,250,51
522940,0,0.75,399.2,121,91,4.1724137931,350,55
581758,0,0.75,522,85,64,2.9310344828,350,50
404357,0,0.75,189.3,21,16,0.724137931,150,55
157946,0,0.75,332.4,19,14,0.6551724138,190,55
99642,0,0.75,553.8,55,41,1.8965517241,140,46
577668,0,0.75,410.2,120,90,4.1379310345,350,55
79410,0,0.75,1761.2,45,34,1.5517241379,150,50
453645,0,0.75,189.7,21,16,0.724137931,250,51
1130273,0,0.75,284.2,129,97,4.4482758621,250,50
312311,0,0.75,325.8,28,21,0.9655172414,130,46
323964,0,0.75,209,59,44,2.0344827586,190,55
240152,0,0.75,235.7,7,5,0.2413793103,140,52
103728,0,0.75,163.7,1,1,0.0344827586,140,52
181727,0,0.75,1620.3,63,47,2.1724137931,380,55
269486,0,0.75,690.6,63,47,2.1724137931,380,55
